,RESPONSIBILITY,,,,,,,,,,,,,CAPACITY,,,,,,,,,,,,,EQUALITY,,,,,,,,,
GNB,0,0.26,2.63,6.14,10.61,17.54,24.03,28.41,30.87,0.12,,,GNB,0,0.33,2.8,5.82,8.51,12.15,14.62,15.37,15.1,0.07,,,GNB,0.00,0.39,4.39,11.20,21.85,39.97,59.72,76.26,88.29,0.30
GUY,0,2.45,24.48,57.12,98.73,163.19,223.57,264.36,287.21,1.12,,,GUY,0,2.2,22.17,52.33,92.81,158.32,225.13,279.8,323.45,1.16,,,GUY,0.00,0.15,1.48,3.31,5.33,8.17,10.34,11.17,11.01,0.05
HTI,0,0.27,2.69,6.28,10.85,17.93,24.57,29.05,31.56,0.12,,,HTI,0,0.45,4.35,9.86,16.47,26.64,36.16,42.88,47.21,0.18,,,HTI,0.00,2.22,22.36,52.11,89.04,143.95,190.88,216.15,223.54,0.94
HND,0,1.09,10.87,25.36,43.83,72.45,99.26,117.37,127.51,0.5,,,HND,0,1.25,11.61,25.72,41.65,65.57,86.7,100.4,108.55,0.44,,,HND,0.00,1.90,19.80,47.21,83.17,138.14,187.98,217.96,229.53,0.93
HUN,0,12.78,127.77,298.13,515.33,851.79,1166.95,1379.9,1499.15,5.85,,,HUN,0,10.42,113.25,280.75,523.92,917.96,1320.89,1631.37,1834.13,6.63,,,HUN,0.00,1.88,16.71,35.64,54.46,81.25,101.60,110.41,111.76,0.51
ISL,0,20.63,206.35,481.48,832.28,1375.66,1884.66,2228.57,2421.16,9.45,,,ISL,0,29.71,294.02,680.32,1163.26,1902.74,2575.59,3011.55,3249.85,12.91,,,ISL,0.00,0.07,0.65,1.49,2.49,3.98,5.30,6.08,6.42,0.03
IND,0,1.29,12.89,30.07,51.98,85.92,117.71,139.19,151.22,0.59,,,IND,0,0.92,8.87,20.25,34.18,55.67,75.76,89.87,98.83,0.38,,,IND,0.00,270.52,2699.80,6243.30,10557.90,16954.62,22419.93,25378.84,26277.14,110.80
IDN,0,1.65,16.51,38.53,66.6,110.08,150.81,178.33,193.74,0.76,,,IDN,0,2.13,20.76,47.56,80.58,131.54,178.69,210.27,228.45,0.9,,,IDN,0.00,53.24,527.85,1216.19,2048.70,3282.32,4348.23,4961.61,5199.25,21.64
IRN,0,7,70.02,163.38,282.42,466.81,639.53,756.23,821.58,3.21,,,IRN,0,4.31,42.69,99.27,170.85,285.03,402.3,497.85,567.1,2.07,,,IRN,0.00,16.35,159.03,361.02,598.64,938.74,1197.62,1299.77,1298.71,5.87
IRQ,0,8.05,80.49,187.82,324.65,536.61,735.16,869.32,944.44,3.69,,,IRQ,0,2.57,21.52,43.77,62.2,86.51,101.26,103.22,98.33,0.52,,,IRQ,0.00,8.12,93.69,244.17,489.85,920.48,1414.31,1861.04,2222.13,7.25
IRL,0,13.71,137.06,319.8,552.8,913.73,1251.8,1480.24,1608.16,6.28,,,IRL,0,34.84,344.01,787.93,1317.79,2115.91,2825.62,3241.43,3396.81,14.06,,,IRL,0.00,0.96,9.34,21.52,36.72,59.81,80.60,94.35,102.50,0.41
ISR,0,11.8,117.97,275.27,475.82,786.48,1077.48,1274.1,1384.21,5.4,,,ISR,0,20.64,191.35,418.58,656.58,992.42,1252.41,1369.74,1387.97,6.29,,,ISR,0.00,1.70,17.73,42.83,77.93,134.82,192.23,235.96,265.05,0.97
ITA,0,11.65,116.51,271.85,469.92,776.72,1064.11,1258.29,1367.03,5.34,,,ITA,0,27.65,294.28,713.62,1295.22,2234.02,3166.6,3814.74,4159.7,15.71,,,ITA,0.00,11.56,104.87,228.42,359.08,544.44,691.00,769.79,803.58,3.51
JAM,0,5.52,55.2,128.79,222.63,367.98,504.13,596.13,647.64,2.53,,,JAM,0,3.49,36.36,88.19,162.86,289.4,431.31,567.21,698.94,2.28,,,JAM,0.00,0.57,5.28,11.50,17.78,26.18,31.65,32.35,29.93,0.16
JPN,0,15.07,150.7,351.62,607.81,1004.64,1376.36,1627.52,1768.17,6.9,,,JPN,0,34.67,376.49,933.66,1743.98,3058.14,4410.7,5458.53,6121.24,22.14,,,JPN,0.00,24.74,219.95,468.93,715.98,1067.27,1331.60,1444.03,1465.25,6.74
JOR,0,3.8,38.02,88.71,153.33,253.44,347.22,410.58,446.06,1.74,,,JOR,0,1.99,19.31,42.25,65.89,100.05,127.94,142.71,148.33,0.65,,,JOR,0.00,2.00,19.85,47.98,87.80,151.13,212.63,255.90,280.24,1.06
KAZ,0,26.67,266.66,622.21,1075.53,1777.73,2435.49,2879.93,3128.81,12.21,,,KAZ,0,6.07,59.23,135.08,223.71,354.33,467.43,532.25,557.79,2.34,,,KAZ,0.00,3.67,36.27,83.96,144.70,238.91,325.91,384.32,417.48,1.64
KEN,0,0.53,5.32,12.41,21.45,35.46,48.58,57.44,62.41,0.24,,,KEN,0,0.58,4.93,10.24,15.1,21.84,26.67,28.54,28.65,0.14,,,KEN,0.00,10.46,117.97,300.63,581.20,1050.15,1546.56,1938.51,2197.50,7.74
KWT,0,83.49,834.92,1948.14,3367.49,5566.11,7625.57,9017.09,9796.35,38.24,,,KWT,0,20.64,193.3,432,709.08,1130.17,1499.55,1711.96,1798.45,7.5,,,KWT,0.00,0.84,8.67,20.47,35.59,58.39,79.20,93.15,100.94,0.40
KGZ,0,8.75,87.49,204.14,352.87,583.26,799.07,944.88,1026.54,4.01,,,KGZ,0,0.59,5.58,12.55,20.55,32.44,42.79,48.97,51.81,0.22,,,KGZ,0.00,1.23,12.47,29.28,51.03,84.50,115.30,135.28,145.56,0.57
LAO,0,0.16,1.65,3.85,6.65,10.99,15.05,17.8,19.34,0.08,,,LAO,0,0.77,7.22,16.23,26.88,43.33,58.77,69.89,77.46,0.3,,,LAO,0.00,1.40,14.32,33.66,57.98,94.06,124.81,140.93,144.79,0.61
LVA,0,8.6,85.96,200.58,346.72,573.1,785.14,928.41,1008.65,3.94,,,LVA,0,9.66,108.8,274.27,519.48,921.16,1337.82,1659.13,1863.27,6.69,,,LVA,0.00,0.37,3.18,6.66,10.02,14.78,18.30,19.80,20.06,0.09
LBN,0,4.99,49.9,116.44,201.28,332.7,455.8,538.97,585.55,2.29,,,LBN,0,4.86,56.48,135.94,238.77,397.73,552.79,675.46,767.96,2.83,,,LBN,0.00,1.18,9.80,21.43,34.81,54.65,70.78,77.82,77.93,0.35
LSO,0,0.15,1.54,3.59,6.21,10.27,14.06,16.63,18.07,0.07,,,LSO,0,0.79,7.48,16.55,26.28,40.11,51.28,57.27,59.61,0.26,,,LSO,0.00,0.45,4.64,11.08,19.92,34.13,48.02,57.73,63.13,0.24
LBR,0,0.72,7.19,16.77,29,47.93,65.66,77.64,84.35,0.33,,,LBR,0,0.16,1.37,2.79,4,5.6,6.59,6.78,6.53,0.03,,,LBR,0.00,1.00,11.43,29.64,59.07,110.30,168.32,219.47,259.13,0.86
LBY,0,14.85,148.53,346.56,599.05,990.17,1356.53,1604.08,1742.7,6.8,,,LBY,0,8.64,82.89,188.56,316.72,517.13,709.01,843.08,922.22,3.59,,,LBY,0.00,1.30,13.09,30.38,51.61,82.68,108.54,122.55,127.55,0.54
LTU,0,10.69,106.86,249.34,431.01,712.41,975.99,1154.1,1253.83,4.89,,,LTU,0,10.01,109.6,273.19,512.78,900.23,1291.25,1584.96,1770.85,6.45,,,LTU,0.00,0.56,4.92,10.44,15.86,23.61,29.61,32.38,32.98,0.15
LUX,0,59.49,594.88,1388.06,2399.36,3965.89,5433.27,6424.74,6979.97,27.25,,,LUX,0,67.4,638.99,1428.68,2318.86,3609.21,4657.53,5183.32,5318.37,23.22,,,LUX,0.00,0.12,1.20,2.84,4.99,8.38,11.69,14.11,15.65,0.06
MDG,0,0.2,2,4.66,8.06,13.32,18.24,21.57,23.44,0.09,,,MDG,0,0.24,2.03,4.14,5.92,8.28,9.76,10.04,9.67,0.05,,,MDG,0.00,5.42,62.56,162.56,324.12,605.56,924.10,1204.69,1423.00,4.71
MWI,0,0.14,1.43,3.33,5.76,9.52,13.05,15.43,16.76,0.07,,,MWI,0,0.26,2.17,4.37,6.13,8.47,9.91,10.19,9.85,0.05,,,MWI,0.00,3.97,46.64,123.06,249.92,472.46,725.57,946.86,1113.82,3.68
MYS,0,6.08,60.8,141.86,245.22,405.33,555.3,656.63,713.37,2.78,,,MYS,0,5.97,56.48,127.41,211.3,337.23,449.98,525.13,568.97,2.28,,,MYS,0.00,6.43,65.54,153.36,263.88,432.38,583.15,670.96,705.02,2.88
MDV,0,1.62,16.16,37.71,65.19,107.75,147.62,174.55,189.64,0.74,,,MDV,0,3.9,37,83.92,139.45,224.71,307.02,370.2,416.29,1.58,,,MDV,0.00,0.09,0.91,2.12,3.64,5.91,7.79,8.68,8.79,0.04
